x,30rh,60rh,85rh
-10.041,1.70961,1.45069,1.259
-10.023,1.7092,1.45034,1.25872
-9.999,1.70866,1.44988,1.25834
-5.086,1.61958,1.3738,1.19599
-5.063,1.61936,1.37362,1.19583
-4.973,1.61854,1.3729,1.19522
0.116,1.58775,1.3451,1.17197
0.138,1.58747,1.34486,1.17177
0.36,1.58457,1.34238,1.1697
5.037,1.49242,1.26559,1.09636
5.053,1.49215,1.26538,1.09614
5.074,1.4918,1.26509,1.09586
9.976,1.42552,1.21028,1.04533
10.012,1.42483,1.20973,1.04485
10.122,1.42262,1.20797,1.04331
15.043,1.30106,1.10822,0.95923
15.074,1.30046,1.1077,0.95878
15.186,1.29837,1.10592,0.95725
19.983,1.2466,1.06142,0.91458
19.996,1.24644,1.06128,0.91446
20.014,1.24624,1.0611,0.91431
25.065,1.17308,0.99431,0.86528
25.081,1.17289,0.99413,0.86516
25.313,1.17037,0.99183,0.86355
29.893,1.14738,0.97215,0.85106
29.995,1.14705,0.972,0.8508
30.007,1.14701,0.97198,0.85077
35.078,1.10616,0.94328,0.81408
35.093,1.10592,0.94307,0.81389
35.196,1.10425,0.94158,0.81253
40.003,1.00117,0.84688,0.7328
40.028,1.00068,0.84644,0.73244
40.144,0.99847,0.84442,0.73081
45.073,0.9277,0.78829,0.68178
45.213,0.92594,0.78702,0.68055
45.355,0.92415,0.7857,0.67929
50.012,0.86066,0.73751,0.63394
50.033,0.86036,0.73729,0.63373
50.152,0.85868,0.73599,0.63252
